City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
sunrise manor,1,US,1617053560,58,26.1577,-80.2861,86.0,11.5
pisco,0,PE,1617053580,68,-13.7,-76.2167,73.4,23.02
tailai,17,CN,1617053581,58,46.3833,123.4,35.4,7.27
camargo,89,MX,1617053276,21,27.6667,-105.1667,79.72,12.15
prince rupert,90,CA,1617053581,73,52.9669,-108.3847,21.2,33.38
makuyuni,70,TZ,1617053473,90,-4.7333,38.1,71.74,1.23
swift current,1,US,1617053581,17,45.2666,-95.667,82.4,32.21
poum,100,NC,1617053507,77,-20.2333,164.0167,79.43,7.54
hovd,88,MN,1617053582,40,48.0056,91.6419,31.5,7.94
hobyo,57,SO,1617053034,74,5.3505,48.5268,80.24,10.71
kralendijk,40,BQ,1617052805,74,12.15,-68.2667,82.4,24.16
griffith,1,US,1617053203,44,41.5284,-87.4237,61.0,23.02
tautira,40,PF,1617053582,58,-17.7333,-149.15,87.8,5.75
ostrovnoy,100,RU,1617053582,96,68.0531,39.5131,34.7,23.11
sirvintos,90,LT,1617053583,100,55.05,24.95,44.01,11.5
iqaluit,40,CA,1617053583,72,63.7506,-68.5145,5.0,17.27
flinders,56,AU,1617053584,79,-34.5833,150.8552,60.01,1.99
hualmay,84,PE,1617053460,77,-11.0964,-77.6139,72.63,9.86
lubbock,40,US,1617053305,12,33.6001,-101.8338,80.6,24.16
puerto madryn,20,ES,1617053327,59,36.5939,-6.233,64.4,19.57
kosh-agach,13,RU,1617053585,87,50.0,88.6667,3.63,4.0
nabire,100,ID,1617052910,87,-3.3667,135.4833,75.7,3.11
vostok,100,RU,1617053585,99,46.4856,135.8833,31.42,3.36
longyan,96,CN,1617053586,78,25.1072,117.0225,75.99,3.44
khatanga,27,RU,1617053435,97,71.9667,102.5,-25.47,11.74
longyearbyen,75,SJ,1617053586,74,78.2186,15.6401,26.6,29.93
ruse,33,BG,1617053586,46,43.8564,25.9708,48.99,4.79
suntar,88,RU,1617053283,99,62.1444,117.6319,0.36,3.4
santa cruz,5,PH,1617053401,81,17.486,120.4348,75.94,3.09
sandy bay,1,US,1617053587,38,40.572,-111.8606,42.01,8.05
tiksi,100,RU,1617053587,98,71.6872,128.8694,4.51,4.38
agadir,34,MA,1617052939,72,30.4202,-9.5982,66.2,8.05
carutapera,97,BR,1617053588,93,-1.195,-46.02,76.19,5.91
erenhot,100,CN,1617053478,28,43.6475,111.9767,42.22,9.78
mazagao,40,BR,1617053588,89,-0.115,-51.2894,86.0,8.05
severo-kurilsk,100,RU,1617053588,96,50.6789,156.125,35.56,20.92
shubarkuduk,100,KZ,1617053437,93,49.1447,56.4872,31.01,4.79
meulaboh,100,ID,1617053050,92,4.1363,96.1285,75.29,4.36
beira,40,MZ,1617053589,57,-19.8436,34.8389,80.6,12.66
ahipara,31,NZ,1617053589,87,-35.1667,173.1667,70.3,7.52
abdanan,3,IR,1617053589,30,32.9926,47.4198,53.91,3.78
svetlyy,90,RU,1617053590,100,54.675,20.1347,48.2,11.18
tortoli,0,IT,1617053590,94,39.9256,9.6572,55.4,8.05
ancud,0,CL,1617053467,60,-41.8697,-73.8203,69.8,14.97
jeremie,20,HT,1617053590,73,18.65,-74.1167,80.01,4.43
esperance,91,AU,1617053461,24,-33.8667,121.9,82.4,19.57
oneonta,6,US,1617053591,44,42.4529,-75.0638,41.0,11.43
victoria,25,HK,1617053439,87,22.2855,114.1577,78.01,6.89
olinda,40,BR,1617053261,74,-8.0089,-34.8553,80.6,5.75
labuhan,48,ID,1617053289,89,-6.8844,112.2051,77.79,6.42
ayan,100,RU,1617053067,94,56.45,138.1667,22.87,16.67
guarda,84,PT,1617053350,74,40.5373,-7.2658,53.01,8.72
smolyaninovo,75,RU,1617053592,87,43.2956,132.4675,35.6,2.24
vila velha,79,PT,1617053592,82,42.0304,-8.1588,54.0,1.99
marsa matruh,20,MT,1617053592,94,35.8792,14.4953,57.0,4.61
key largo,1,US,1617053592,14,32.7282,-101.7996,79.0,8.99
baker city,1,US,1617053593,33,30.5882,-91.1682,73.99,4.03
saskylakh,99,RU,1617053458,98,71.9167,114.0833,-16.51,6.29
sorong,91,ID,1617053593,84,-0.8833,131.25,78.48,6.06
kununurra,92,AU,1617053079,78,-15.7667,128.7333,73.4,3.44
saldanha,0,ZA,1617053453,88,-33.0117,17.9442,64.4,2.3
luchow,75,DE,1617053593,66,52.9667,11.15,51.8,2.3
vardo,0,NO,1617053594,75,70.3705,31.1107,37.4,14.97
margate,15,GB,1617053594,53,51.3813,1.3862,51.01,3.0
husavik,90,IS,1617053526,80,66.0449,-17.3389,26.6,6.91
fuxin,4,CN,1617053594,26,42.0156,121.6589,40.64,2.1
lodi,0,US,1617053366,42,38.1302,-121.2725,73.0,8.99
srednekolymsk,81,RU,1617053251,97,67.45,153.6833,-6.68,3.38
egvekinot,100,RU,1617053490,77,66.3167,-179.1667,6.84,15.66
sinnamary,87,GF,1617053392,86,5.3833,-52.95,78.48,14.88
praia,20,CV,1617053595,73,14.9215,-23.5087,68.0,17.27
valparaiso,75,CL,1617053596,77,-33.0393,-71.6273,60.8,4.61
agadez,0,NE,1617053596,11,19.75,10.25,68.02,6.08
richards bay,1,US,1617053330,28,46.8361,-95.9123,72.0,14.97
tambacounda,1,SN,1617053596,38,13.7539,-13.7586,96.8,6.91
kamiiso,75,JP,1617053596,93,41.8167,140.65,39.2,4.61
cananeia,77,BR,1617053597,94,-25.0147,-47.9267,74.91,6.02
necochea,28,AR,1617053362,81,-38.5473,-58.7368,64.99,1.01
california city,1,US,1617053590,21,38.3004,-76.5074,62.6,4.61
davila,75,PH,1617053597,88,18.4726,120.5763,75.2,2.3
termoli,41,IT,1617053598,62,41.9888,14.9895,54.0,5.23
porto nacional,0,PT,1617053352,77,41.1496,-8.611,63.0,6.29
gaillac,0,FR,1617053598,47,43.9016,1.8969,57.2,18.41
fukue,100,JP,1617053291,76,32.6881,128.8419,59.97,5.01
ransang,67,PH,1617053599,86,8.9603,117.5828,78.04,3.91
lebu,8,CL,1617053599,82,-37.6167,-73.65,59.68,2.8
gorontalo,96,ID,1617053288,92,0.5412,123.0595,76.12,2.33
tual,98,ID,1617053213,75,-5.6667,132.75,82.09,8.59
hofu,92,JP,1617053599,85,34.05,131.5667,51.01,5.5
loviisa,100,FI,1617053600,96,60.4566,26.2251,39.0,3.0
nave,31,IT,1617053600,67,45.5875,10.29,57.99,6.91
kovdor,100,RU,1617053600,97,67.5662,30.4758,32.94,9.37
dori,0,BF,1617053601,13,14.0354,-0.0345,82.13,9.55
bilma,7,NE,1617053601,13,18.6853,12.9164,70.56,4.32
opuwo,65,NA,1617053601,66,-18.0607,13.84,70.2,4.25
matara,100,LK,1617053500,91,5.9485,80.5353,72.91,9.33
yumen,100,CN,1617053601,44,40.2833,97.2,45.52,16.04
cobija,75,BO,1617053602,74,-11.0267,-68.7692,82.4,6.91
plavinas,100,LV,1617053602,96,56.6178,25.7255,42.57,10.47
avanigadda,71,IN,1617053602,84,16.0215,80.9181,79.32,7.43
menongue,59,AO,1617053603,92,-14.6585,17.691,61.45,4.59
north bend,34,FR,1617053326,76,50.3333,3.6667,53.01,1.14
grand gaube,1,US,1617053603,8,38.8755,-109.5012,75.0,19.57
mayachnyy,85,RU,1617053603,97,52.6839,55.685,23.29,6.17
olafsvik,100,IS,1617053604,67,64.8945,-23.7142,29.37,14.36
torbay,90,CA,1617053456,100,47.6666,-52.7314,36.0,39.12
juegang,100,CN,1617053604,91,32.3174,121.1855,55.99,3.0
carballo,0,ES,1617053604,63,43.213,-8.691,60.8,3.13
san quintin,0,ML,1617053604,7,13.3034,-4.8956,85.75,9.35
abu dhabi,42,IN,1617053571,54,24.6,72.7,63.95,7.14
skibbereen,90,IE,1617053456,100,51.55,-9.2667,48.2,13.8
waharoa,100,NZ,1617053605,92,-37.7667,175.7667,71.01,4.0
guerrero negro,20,MX,1617053605,20,17.6667,-100.0,89.67,4.38
posse,100,BR,1617053606,53,-14.0931,-46.3694,74.25,1.48
xiamen,75,CN,1617053606,94,24.4798,118.0819,68.0,2.24
namibe,88,AO,1617053606,82,-15.1961,12.1522,74.44,1.83
turbat,100,PK,1617053606,16,26.0023,63.044,78.6,11.9
narimanov,0,RU,1617053607,64,46.6927,47.8498,32.0,5.28
edd,0,ER,1617053607,76,13.9297,41.6925,78.73,3.04
panguna,100,PG,1617053607,67,-6.3164,155.4848,77.22,1.9
cururupu,99,BR,1617053608,95,-1.8283,-44.8683,75.31,3.15
ndele,3,CF,1617053535,17,8.4109,20.6473,77.63,5.3
kommunisticheskiy,100,RU,1617053608,88,61.6789,64.4819,16.65,8.55
madang,97,PG,1617053608,88,-5.2246,145.7966,78.53,2.89
maraa,97,BR,1617053609,95,-1.8333,-65.3667,77.67,2.39
teguise,20,ES,1617053609,77,29.0605,-13.564,66.2,6.91
charters towers,1,US,1617053609,30,38.5736,-83.4333,57.99,5.75
laguna,1,US,1617053610,24,38.421,-121.4238,73.99,16.11
sotouboua,0,TG,1617053610,42,8.5667,0.9833,82.4,2.59
codrington,91,AU,1617053610,77,-38.2667,141.9667,55.47,3.87
nyurba,96,RU,1617053610,98,63.2842,118.3319,4.08,2.48
kushima,75,JP,1617053611,88,31.4583,131.2333,55.4,5.75
luchegorsk,100,RU,1617053611,98,46.4764,134.2569,35.64,4.9
manokwari,100,ID,1617053472,77,-0.8667,134.0833,78.87,3.51
gat,0,IL,1617053495,67,31.61,34.7642,55.4,4.61
norsup,20,VU,1617053612,74,-16.0667,167.3833,83.3,11.25
kushiro,87,JP,1617053612,86,42.975,144.3747,40.19,7.4
san borja,0,ML,1617053604,7,13.3034,-4.8956,85.75,9.35
pacific grove,1,US,1617053612,20,38.482,-90.7415,73.4,14.97
vao,100,NC,1617053613,67,-22.6667,167.4833,78.98,8.16
okha,100,RU,1617053613,99,53.5739,142.9478,31.39,5.26
sao joao da barra,80,IN,1617053613,17,20.5113,76.2129,80.53,11.16
muisne,75,EC,1617053275,89,0.6,-80.0333,80.6,4.61
ruidoso,1,US,1617053614,9,33.3317,-105.673,68.0,21.85
san juan de la maguana,0,ML,1617053614,7,13.3034,-4.8956,85.75,9.35
katsuura,70,JP,1617053527,94,35.1333,140.3,59.0,8.46
terrace,90,CA,1617053075,56,54.5163,-128.6035,37.4,4.61
bow island,1,US,1617053614,19,43.1331,-71.5491,46.99,20.71
sioni,0,GE,1617053615,52,41.9895,45.0239,42.8,2.3
neiafu,40,TO,1617053440,79,-18.65,-173.9833,84.2,10.36
puerto carreno,20,ES,1617053327,59,36.5939,-6.233,64.4,19.57
port hedland,97,CD,1617053615,72,-7.0349,29.7638,72.36,4.72
namtsy,0,RU,1617053616,73,62.7161,129.6658,15.8,6.71
vestmannaeyjar,99,IS,1617053616,64,63.4427,-20.2734,33.73,5.99
divnoye,99,RU,1617053616,83,45.9089,43.3547,40.01,5.99
sehithwa,1,BW,1617053616,43,-20.4667,22.7167,70.18,6.49
gerash,0,IR,1617053617,24,27.6652,54.1371,69.8,6.53
diffa,0,NE,1617053239,18,13.3154,12.6113,76.32,11.88
bonavista,100,CA,1617053436,100,48.6499,-53.1147,37.0,18.41
grindavik,40,IS,1617053617,64,63.8424,-22.4338,30.2,16.11
baykit,74,RU,1617053607,99,61.67,96.37,2.14,2.08
amberley,1,US,1617053618,31,39.2048,-84.428,60.01,13.8
tessalit,28,ML,1617053618,8,20.1986,1.0114,75.4,11.48
corumba,40,BR,1617053618,65,-19.0092,-57.6533,86.0,8.05
hofn,0,IS,1617053618,62,64.2539,-15.2082,29.53,17.16
jalu,56,LY,1617053472,42,29.0331,21.5482,58.46,11.52
san carlos de bariloche,0,ML,1617053604,7,13.3034,-4.8956,85.75,9.35
naze,99,JP,1617053619,93,28.3667,129.4833,64.62,2.51
peniche,26,PT,1617053228,75,39.3558,-9.3811,62.01,1.99
safford,1,US,1617053596,12,32.834,-109.7076,80.6,5.75
lokoja,40,NG,1617053619,26,7.8024,6.743,85.48,4.56
villarrica,100,PY,1617053620,98,-25.75,-56.4333,63.95,1.81
phangnga,75,TH,1617053620,94,8.4509,98.5298,82.99,2.3
impfondo,100,CG,1617053620,95,1.6381,18.0667,71.71,4.14
nome,90,US,1617053472,93,64.5011,-165.4064,35.01,5.75
bardiyah,0,LY,1617053264,59,31.7561,25.0865,57.54,9.69
mareeba,100,AU,1617053457,65,-17.0,145.4333,78.8,14.97
petatlan,90,MX,1617053621,66,17.5167,-101.2667,86.0,11.5
zhoucheng,0,CN,1617053621,42,35.9122,116.3117,47.23,3.6
ibotirama,49,BR,1617053621,28,-12.1853,-43.2206,86.58,2.33
tura,35,IN,1617053622,55,25.5198,90.2201,70.9,6.76
san felipe,0,ML,1617053622,7,13.3034,-4.8956,85.75,9.35
